,langs,project,cdli_id,collection,credits,date_of_origin,designation,display_name,dynastic_seat,exemplars,genre,id_composite,language,material,object_type,period,pleiades_id,popular_name,primary_publication,provenience,pleiades_coord,ruler,script,script_remarks,script_type,subgenre,supergenre,trans,id_text,seal_id,attribution
Q003625,0x09000000,rinap/rinap1,P463035,"British Museum, London, UK","Created by Hayim Tadmor, Shigeo Yamada, Jamie Novotny, and the Royal Inscriptions of the Neo-Assyrian Period (RINAP) Project, 2011. Lemmatized by Jamie Novotny, 2010, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q003625/.",726-722,Shalmaneser V 4,RINAP 1 Shalm. V 4,Assyria,"BM 091223 (1848-11-04, 0069)",Royal Inscription,Q003625,"Akkadian, Aramaic",metal,lion weight,Neo-Assyrian,894019,BM 091223,Shalmaneser V 4,Nimrud (Kalhu),"[43.3275,36.099167]",Shalmaneser V,"Neo-Assyrian, Aramaic",inscribed,"Cuneiform, Alpabetic",Shalmaneser V,LIT,['en'],,,
Q003626,0x09000000,rinap/rinap1,P463036,"British Museum, London, UK","Created by Hayim Tadmor, Shigeo Yamada, Jamie Novotny, and the Royal Inscriptions of the Neo-Assyrian Period (RINAP) Project, 2011. Lemmatized by Jamie Novotny, 2010, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q003626/.",726-722,Shalmaneser V 5,RINAP 1 Shalm. V 5,Assyria,"BM 091228 (1848-11-04, 0072)",Royal Inscription,Q003626,"Akkadian, Aramaic",metal,lion weight,Neo-Assyrian,894019,BM 091228,Shalmaneser V 5,Nimrud (Kalhu),"[43.3275,36.099167]",Shalmaneser V,"Neo-Assyrian, Aramaic",inscribed,"Cuneiform, Alpabetic",Shalmaneser V,LIT,['en'],,,
Q003627,0x09000000,rinap/rinap1,P463037,"British Museum, London, UK","Created by Hayim Tadmor, Shigeo Yamada, Jamie Novotny, and the Royal Inscriptions of the Neo-Assyrian Period (RINAP) Project, 2011. Lemmatized by Jamie Novotny, 2010, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q003627/.",726-722,Shalmaneser V 6,RINAP 1 Shalm. V 6,Assyria,"BM 091230 (1848-11-04, 0073)",Royal Inscription,Q003627,"Akkadian, Aramaic",metal,lion weight,Neo-Assyrian,894019,BM 091230,Shalmaneser V 6,Nimrud (Kalhu),"[43.3275,36.099167]",Shalmaneser V,"Neo-Assyrian, Aramaic",inscribed,"Cuneiform, Alpabetic",Shalmaneser V,LIT,['en'],,,
Q003628,0x09000000,rinap/rinap1,P463038,"British Museum, London, UK","Created by Hayim Tadmor, Shigeo Yamada, Jamie Novotny, and the Royal Inscriptions of the Neo-Assyrian Period (RINAP) Project, 2011. Lemmatized by Jamie Novotny, 2010, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q003628/.",726-722,Shalmaneser V 7,RINAP 1 Shalm. V 7,Assyria,"BM 091227 (AOC 016; 1848-11-04, 0075)",Royal Inscription,Q003628,"Akkadian, Aramaic",metal,lion weight,Neo-Assyrian,894019,BM 091227,Shalmaneser V 7,Nimrud (Kalhu),"[43.3275,36.099167]",Shalmaneser V,"Neo-Assyrian, Aramaic",inscribed,"Cuneiform, Alpabetic",Shalmaneser V,LIT,['en'],,,
Q003629,0x09000000,rinap/rinap1,P463039,"British Museum, London, UK","Created by Hayim Tadmor, Shigeo Yamada, Jamie Novotny, and the Royal Inscriptions of the Neo-Assyrian Period (RINAP) Project, 2011. Lemmatized by Jamie Novotny, 2010, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q003629/.",726-722,Shalmaneser V 8,RINAP 1 Shalm. V 8,Assyria,"BM 091232 (1848-11-04, 0076)",Royal Inscription,Q003629,"Akkadian, Aramaic",metal,lion weight,Neo-Assyrian,894019,BM 091232,Shalmaneser V 8,Nimrud (Kalhu),"[43.3275,36.099167]",Shalmaneser V,"Neo-Assyrian, Aramaic",inscribed,"Cuneiform, Alpabetic",Shalmaneser V,LIT,['en'],,,
Q003630,0x09000000,rinap/rinap1,P463040,"British Museum, London, UK","Created by Hayim Tadmor, Shigeo Yamada, Jamie Novotny, and the Royal Inscriptions of the Neo-Assyrian Period (RINAP) Project, 2011. Lemmatized by Jamie Novotny, 2010, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q003630/.",726-722,Shalmaneser V 9,RINAP 1 Shalm. V 9,Assyria,"BM 091233 (1848-11-04, 0078)",Royal Inscription,Q003630,"Akkadian, Aramaic",metal,lion weight,Neo-Assyrian,894019,BM 091233,Shalmaneser V 9,Nimrud (Kalhu),"[43.3275,36.099167]",Shalmaneser V,"Neo-Assyrian, Aramaic",inscribed,"Cuneiform, Alpabetic",Shalmaneser V,LIT,['en'],,,
Q003631,0x08000000,rinap/rinap1,P463041,"Vorderasiatisches Museum, Berlin, Germany","Created by Hayim Tadmor, Shigeo Yamada, Jamie Novotny, and the Royal Inscriptions of the Neo-Assyrian Period (RINAP) Project, 2011. Lemmatized by Jamie Novotny, 2010, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q003631/.",726-722,Shalmaneser V 1001,RINAP 1 Shalm. V 1001,Assyria,VA Ass 02105 (Ass 05658); VA Ass 02107 (Ass 05306),Royal Inscription,Q003631,Akkadian,clay,cone,Neo-Assyrian,893945,VA Ass 02105 and VA Ass 02107,Shalmaneser V 1001,Qalat Sherqat (Assur),"[43.262037,35.458121]",Shalmaneser V,Neo-Assyrian,inscribed,Cuneiform,Shalmaneser V,LIT,,,,
Q003632,0x08000000,rinap/rinap1,P463042,,"Created by Hayim Tadmor, Shigeo Yamada, Jamie Novotny, and the Royal Inscriptions of the Neo-Assyrian Period (RINAP) Project, 2011. Lemmatized by Jamie Novotny, 2010, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q003632/.",726-722,Shalmaneser V 1002,RINAP 1 Shalm. V 1002,Assyria,"D. Oates, Sumer 19 p. 73",Royal Inscription,Q003632,Akkadian,clay,brick,Neo-Assyrian,874723,Sumer 19 p. 73,Shalmaneser V 1002,Tell Abu Marya (Apqu-ša-Adad),"[42.597299,36.429708]",Shalmaneser V,Neo-Assyrian,inscribed,Cuneiform,Shalmaneser V,LIT,,,,
Q003633,0x01000000,rinap/rinap1,P463043,"British Museum, London, UK","Created by Hayim Tadmor, Shigeo Yamada, Jamie Novotny, and the Royal Inscriptions of the Neo-Assyrian Period (RINAP) Project, 2011. Lemmatized by Jamie Novotny, 2010, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q003633/.",726-722,Shalmaneser V 1003,RINAP 1 Shalm. V 1003,Assyria,"BM 091220 (1848-11-04, 0066)",Royal Inscription,Q003633,Aramaic,metal,lion weight,Neo-Assyrian,894019,BM 091220,Shalmaneser V 1003,Nimrud (Kalhu),"[43.3275,36.099167]",Shalmaneser V,Aramaic,inscribed,Alpabetic,Shalmaneser V,LIT,['en'],,,
Q003634,0x09000000,rinap/rinap1,P463044,"Kunsthistorisches Museum, Vienna, Austria","Created by Hayim Tadmor, Shigeo Yamada, Jamie Novotny, and the Royal Inscriptions of the Neo-Assyrian Period (RINAP) Project, 2011. Lemmatized by Jamie Novotny, 2010, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q003634/.",726-722,Shalmaneser V 1004,RINAP 1 Shalm. V 1004,Assyria,KHM SEM 1264; KHM SEM 1264,Royal Inscription,Q003634,"Akkadian, Aramaic",clay,oval,Neo-Assyrian,29492,SEM 01263 and SEM 01264,Shalmaneser V 1004,Assyria,"[43.2,36.2]",Shalmaneser V,"Neo-Assyrian, Aramaic",inscribed,"Cuneiform, Alpabetic",Shalmaneser V,LIT,['en'],,,
Q003635,0x08000000,rinap/rinap1,P463045,"National Museum of Iraq, Baghdad, Iraq","Created by Hayim Tadmor, Shigeo Yamada, Jamie Novotny, and the Royal Inscriptions of the Neo-Assyrian Period (RINAP) Project, 2011. Lemmatized by Jamie Novotny, 2010, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q003635/.",726-722,Shalmaneser V 2001,RINAP 1 Shalm. V 2001,Assyria,IM 105698 (ND 1989/007),Royal Inscription,Q003635,Akkadian,metal,vessel,Neo-Assyrian,894019,Bānītu gold bowl,Shalmaneser V 2001,Nimrud (Kalhu),"[43.3275,36.099167]",Shalmaneser V,Neo-Assyrian,inscribed,Cuneiform,Shalmaneser V,LIT,['en'],,,
Q003636,0x08000000,rinap/rinap1,P463046,"National Museum of Iraq, Baghdad, Iraq","Created by Hayim Tadmor, Shigeo Yamada, Jamie Novotny, and the Royal Inscriptions of the Neo-Assyrian Period (RINAP) Project, 2011. Lemmatized by Jamie Novotny, 2010, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q003636/.",726-722,Shalmaneser V 2002,RINAP 1 Shalm. V 2002,Assyria,IM 115466 (ND 1989/192),Royal Inscription,Q003636,Akkadian,metal,vessel,Neo-Assyrian,894019,Bānītu electrum container,Shalmaneser V 2002,Nimrud (Kalhu),"[43.3275,36.099167]",Shalmaneser V,Neo-Assyrian,inscribed,Cuneiform,Shalmaneser V,LIT,['en'],,,
Q004177,0x08000000,rinap/rinap1,P463091,"de Clercq Collection, Paris, France","Created by Hayim Tadmor, Shigeo Yamada, Jamie Novotny, and the Royal Inscriptions of the Neo-Assyrian Period (RINAP) Project, 2011. Lemmatized by Jamie Novotny, 2010, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q004177/.",744-727,Tiglath-pileser III 64,RINAP 1 Tigl. III 64,Assyria,Collection de Clercq,Royal Inscription,Q004177,Akkadian,stone,bead,Neo-Assyrian,29492,Misc. V,Tiglath-pileser III 64,Assyria,"[43.2,36.2]",Tiglath-pileser III,Neo-Assyrian,inscribed,Cuneiform,Tiglath-pileser III,LIT,['en'],,,
Q004178,0x08000000,rinap/rinap1,P463104,"Yale Babylonian Collection, New Haven, Connecticut, USA","Created by Hayim Tadmor, Shigeo Yamada, Jamie Novotny, and the Royal Inscriptions of the Neo-Assyrian Period (RINAP) Project, 2011. Lemmatized by Jamie Novotny, 2010, for the NEH-funded RINAP Project at the University of Pennsylvania. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q004178/.",744-727,Tiglath-pileser III 2006,RINAP 1 Tigl. III 2006,Assyria,YBC 16941,Royal Inscription,Q004178,Akkadian,clay,brick,Neo-Assyrian,29492,Kīdītê inscription,Tiglath-pileser III 2006,Assyria,"[43.2,36.2]",Tiglath-pileser III,Neo-Assyrian,inscribed,Cuneiform,Tiglath-pileser III,LIT,['en'],,,
Q006329,0x08000000,rinap/rinap1,,,"Copyright Hayim Tadmor, Shigeo Yamada, Jamie Novotny, and the Royal Inscriptions of the Neo-Assyrian Period (RINAP) Project, 2016. Created by Jamie Novotny, 2015-16, for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München.The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0.",,Tiglath-pileser III Series A Annals,,,,Royal Inscription,,Akkadian,,wall slab (with reliefs),Neo-Assyrian,894019,Kalhu Annals Series A,Tiglath-pileser III Series A Annals,Nimrud,"[43.3275,36.099167]",Tiglath-pileser III,,,,,LIT,['en'],Q006329,,
Q006330,0x08000000,rinap/rinap1,,,"Copyright Hayim Tadmor, Shigeo Yamada, Jamie Novotny, and the Royal Inscriptions of the Neo-Assyrian Period (RINAP) Project, 2016. Created by Jamie Novotny, 2015-16, for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München.The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0.",,Tiglath-pileser III Series B Annals,,,,Royal Inscription,,Akkadian,,wall slab (with reliefs),Neo-Assyrian,894019,Kalhu Annals Series B,Tiglath-pileser III Series B Annals,Nimrud,"[43.3275,36.099167]",Tiglath-pileser III,,,,,LIT,['en'],Q006330,,
Q006331,0x08000000,rinap/rinap1,,,"Copyright Hayim Tadmor, Shigeo Yamada, Jamie Novotny, and the Royal Inscriptions of the Neo-Assyrian Period (RINAP) Project, 2016. Created by Jamie Novotny, 2015-16, for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München.The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0.",,Tiglath-pileser III Series C Annals,,,,Royal Inscription,,Akkadian,,wall slab (with reliefs),Neo-Assyrian,894019,Kalhu Annals Series C,Tiglath-pileser III Series C Annals,Nimrud,"[43.3275,36.099167]",Tiglath-pileser III,,,,,LIT,['en'],Q006331,,
Q006333,0x08000000,rinap/rinap1,,,"Copyright Hayim Tadmor, Shigeo Yamada, Jamie Novotny, and the Royal Inscriptions of the Neo-Assyrian Period (RINAP) Project, 2016. Created by Jamie Novotny, 2015-16, for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München.The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0.",,"Tiglath-pileser III Composite Annals (Series A, B, and C)",,,,Royal Inscription,,Akkadian,,wall slab (with reliefs),Neo-Assyrian,894019,"Kalhu Annals Series A, B, and C","Tiglath-pileser III Composite Annals (Series A, B, and C)",Nimrud,"[43.3275,36.099167]",Tiglath-pileser III,,,,,LIT,['en'],Q006333,,
Q003700,0x08000000,rinap/rinap5,P514710,"British Museum, London, UK; Oriental Institute, University of Chicago, Chicago, Illinois, USA","Created by Jamie Novotny and Joshua Jeffers, 2015-18. Lemmatized by Jamie Novotny, 2015–16, for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q003700/.",668-ca. 631,Ashurbanipal 001,RINAP 5 Asb. 001,Assyria,K 01821; A 07920 + A 08138; A 08130,Royal Inscription,Q003700,Akkadian,clay,prism,Neo-Assyrian,874621,Prism E₁,Ashurbanipal 001,Kuyunjik (Nineveh),"[43.151937,36.358684]",Ashurbanipal,Neo-Assyrian,inscribed,Cuneiform,Ashurbanipal,LIT,['en'],,,
Q003701,0x08000000,rinap/rinap5,P514711,"British Museum, London, UK; Oriental Institute, University of Chicago, Chicago, Illinois, USA","Created by Jamie Novotny and Joshua Jeffers, 2015-18. Lemmatized by Jamie Novotny, 2015–16, for the Munich Open-access Cuneiform Corpus Initiative (MOCCI), a corpus-building initiative funded by LMU Munich and the Alexander von Humboldt Foundation (through the establishment of the Alexander von Humboldt Chair for Ancient History of the Near and Middle East) and based at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q003701/.",668-ca. 631,Ashurbanipal 002,RINAP 5 Asb. 002,Assyria,"BM 121018 (+) BM 128305 + BM 134481 (1929-10-12, 0014 (+) 1932-12-10, 0562 + 1932-12-12, 0476); BM 127923 + BM 128324 (1929-10-12, 0579 + 1932-12-10, 0581); BM 127940 + BM 134455 (1929-10-12, 0596 + 1932-12-12, 0450; TM 1931-2, 14); BM 128306 + BM 134445 (1932-12-10, 0563 + 1932-12-12, 0440; TM 1931-2, 11); BM 134454 (1932-12-12, 0449); K 01828; Bu 1889-04-26, 0151; BM 121029 + BM 128230 (+) BM 128298 (1929-10-12, 0025 + 1932-12-10, 0487 (+) 1932-12-10, 0555) (+) A 07919; A 08140; 1881-07-27, 0263",Royal Inscription,Q003701,Akkadian,clay,prism,Neo-Assyrian,874621,Prism E₂,Ashurbanipal 002,Kuyunjik (Nineveh),"[43.151937,36.358684]",Ashurbanipal,Neo-Assyrian,inscribed,Cuneiform,Ashurbanipal,LIT,['en'],,,
Q003702,0x08000000,rinap/rinap5,P514712,"British Museum, London, UK; Oriental Institute, University of Chicago, Chicago, Illinois, USA; Musée d'Art et d'Histoire, Geneva, Switzerland","Created by Jamie Novotny and Joshua Jeffers, 2015-18. Lemmatized by Jamie Novotny, 2015–16, for the Munich Open-access Cuneiform Corpus Initiative (MOCCI), a corpus-building initiative funded by LMU Munich and the Alexander von Humboldt Foundation (through the establishment of the Alexander von Humboldt Chair for Ancient History of the Near and Middle East) and based at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q003702/.",668-ca. 631,Ashurbanipal 003,RINAP 5 Asb. 003,Assyria,"K 01775 + K 01847* + K 02732 + Sm 1712 (BM 093008) + K 13764 + K 16017 + Sm 2028 + Rm 2, 085 + 1882-05-22, 0019 + BM 098556 (Th 1905-04-09, 0062); Sm 2033; BM 121016 + BM 127861 (1929-10-12, 0012 + 1929-10-12, 0617); BM 121020 (1929-10-12, 0016); A 07928 + A 07930 + A 07933 + A 07938 + A 07944 + A 07996 + A 08133 + A 11855 (+) A 07961 (+) BM 134435 (1932-12-12, 0430); A 07935 + A 11861 (+) A 11865 (+) BM 123436 + BM 127838 + BM 128220 + BM 128248 (1932-12-10, 0379 + 1932-12-10, 0494 + 1932-12-10, 0477 + 1932-12-10, 0505); K 01710 (+) BM 099061 +  BM 098557 (Ki 1904-10-09, 0090 + Th 1905-04-09, 0063); K 01716 + K 15347;  K 01752 + K 02730; K 01786; K 01796; K 01815 + K 02733; K 01843 + 1881-07-27, 0018; K 06002;  K 07572; K 07573; K 13736 + K 18083; K 16029; K 18114; K 19421; K 22110 + K 22113; Sm 0344; Sm 1890; Sm 2041; Sm 2094 (+) Sm 2107; Sm 2100; Sm 2127; Rm 0028; 1881-07-27, 0010; 1881-07-27, 0012; 1881-07-27, 0092; 1882-05-22, 0007; Bu 1889-04-26, 0144; BM 121015 + BM 128127 (1929-10-12, 0011 + 1929-10-12, 0783); BM 121130 (1929-10-12, 0126); BM 123406 (1932-12-10, 0349); BM 123421 (1932-12-10, 0364); BM 123438 + BM 127999 (1932-12-10, 0381 + 1929-10-12, 0655); BM 123441 (1932-12-10, 0384); BM 127844 (1929-10-12, 0500); BM 127848 (1929-10-12, 0504); BM 127851 (1929-10-12, 0507); BM 127857 (1929-10-12, 0513); BM 127865 (1929-10-12, 0521); BM 127877 (1929-10-12, 0533); BM 127886 (1929-10-12, 0542); BM 127899 (+) BM 127961 + BM 128282 (1929-10-12, 0555 (+) 1929-10-12, 0517 + 1932-12-10, 0539) (+) A 08143; BM 127902 (1929-10-12, 0558); BM 127924 (1929-10-12, 0580); BM 127926 (1929-10-12, 0582); BM 127934 (1929-10-12, 0590); BM 127936 (1929-10-12, 0592); BM 127974 (1929-10-12, 0630); BM 127997 (1929-10-12, 0653); BM 127998 (1929-10-12, 0654); BM 128007 (1929-10-12, 0663); BM 128015 (1929-10-12, 0671); BM 128043 (1929-10-12, 0699); BM 128053 (1929-10-12, 0709); BM 128064 (1929-10-12, 0720); BM 128085 + BM 128117 + BM 128241 (1929-10-12, 0741 + 1929-10-12, 0773 + 1932-12-10, 0498); BM 128086 (1929-10-12, 0742); BM 128096 (1929-10-12, 0752); BM 128151 (1929-10-12, 0807); BM 128240 + BM 128317 (1932-12-10, 0497 + 1932-12-10, 0574); BM 128256 (1932-12-10, 0513); BM 128268 (1932-12-10, 0525); BM 128273 (+)? A 07995 (1932-12-10, 0530); BM 128275 (1932-12-10, 0532); BM 128288 (1932-12-10, 0545); BM 128319 (1932-12-10, 0576); BM 128329 (1932-12-10, 0586); BM 128331 (1932-12-10, 0588); BM 128332 (1932-12-10, 0589); BM 134439 + BM 134487 (1932-12-12, 0434 + 1932-12-12, 0482); BM 134448 (1932-12-12, 0443); BM 134449 + BM 134477 (1932-12-12, 0444 + 1932-12-12, 0472); BM 134486 (1932-12-12, 0481); BM 134830 (1932-12-12, 0625); BM 138189 (1932-12-12, 0916); BM 138191 + BM 138193 (+) BM 127873 (1932-12-12, 0918 + 1932-12-12, 0920 (+) 1929-10-12, 0529) (+) A 07964 + A 07967 + A 08002; A 07921; A 07922; A 07923; A 07924; A 07925; A 07926; A 07927 (+) BM 127976 + BM 128321 (1929-10-12, 0632 + 1932-12-10, 0578); A 07929; A 07931; A 07932; A 07934; A 07936; A 07939; A 07940; A 07943; A 07946 + ""A 07945b""; A 07947 + A 07951 (+) BM 128255 (1932-12-10, 0512); A 07948; A 07949 + A 07965 (+) A 07972 (+) BM 127839 (1929-10-12, 0495); A 07950; A 07952 (+) BM 127956 + BM 128014 (1929-10-12, 0612 + 1929-10-12, 0670); A 07953; A 07954; A 07955; A 07956;  A 07957; A 07958; A 07959; A 07962 (+)? Rm 0024; A 07963; A 07966; A 07968 (+) BM 128009 + BM 128252 (1929-10-12, 0665 + 1932-12-10, 0509); A 07969 (+) Rm 0015; A 07970; A 07971 + A 07993; A 07973 + A 07975; A 07974 (+) BM 128260 (1932-12-10, 0517); A 07976 (+) Rm 0018; A 07977; A 07978; A 07979; A 07980 + A 08161; A 07981; A 07983; A 07984 (+) A 07986; A 07987; A 07989 + A 08142; A 07990; A 07991; A 07992; A 07994; A 07997; A 07998; A 07999; A 08000; A 08127; A 08136; A 11853; A 11856; A 11858; A 11859; MAH 16513; K 16033; K 16775; K 21420; K 21651; A 07941; K 17588; BM 121118 (1929-10-12, 0114); 1880-07-19, 0276; A 08146; A 08154",Royal Inscription,Q003702,Akkadian,clay,prism,Neo-Assyrian,874621,Prism B,Ashurbanipal 003,Kuyunjik (Nineveh),"[43.151937,36.358684]",Ashurbanipal,Neo-Assyrian,inscribed,Cuneiform,Ashurbanipal,LIT,['en'],,,
Q003703,0x08000000,rinap/rinap5,P514713,"British Museum, London, UK; de Liagre Böhl Collection, Netherlands Institute for the Near East, Leiden, Holland; Oriental Institute, University of Chicago, Chicago, Illinois, USA; National Museum of Iraq, Baghdad, Iraq","Created by Jamie Novotny and Joshua Jeffers, 2015-18. Lemmatized by Jamie Novotny, 2015–16, for the Munich Open-access Cuneiform Corpus Initiative (MOCCI), a corpus-building initiative funded by LMU Munich and the Alexander von Humboldt Foundation (through the establishment of the Alexander von Humboldt Chair for Ancient History of the Near and Middle East) and based at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q003703/.",668-ca. 631,Ashurbanipal 004,RINAP 5 Asb. 004,Assyria,"K 01741 + K 01811 + K 01839 + K 01852 + Sm 1887 + BM 099329 (Ki 1904-10-09, 0362) (+) Sm 1879; A 08006 (+)? IM 011528; K 01700 + K 01836 + K 01844 + Sm 2020 + DT 102 (+) K 01713 (+) K 01717 + K 01779 + Sm 1878 (+) K 01732 + Sm 1989 (+)? K 01737 (+) 1879-07-08, 0010; A 08005 (+)? BM 128266 (1932-12-10, 0523); BM 127909  + BM 128012  + BM 128060  + BM 138192 (1929-10-12, 0565 + 1929-10-12, 0668 + 1929-10-12, 0716 + 1932-12-12, 0919) A 07937 + A 08008; A 08010 (+) BM 127887 + BM 127916 (1929-10-12, 0543 + 1929-10-12, 0572); BM 127867 + BM 128287 (1929-10-12, 0523 + 1932-12-10, 0544)  (+) LB 1315; 1883-01-18, 0602 + BM 134441 (1932-12-12, 0436; TM 1931–2, 15); A 11862 (+) BM 121017 + BM 127942 + BM 128276 (1929-10-12, 0013 + 1929-10-12, 0598 + 1932-12-10, 0533); K 01731; Rm 0031; BM 098629 (Th 1905-04-09, 0135); BM 105323 (1913-04-16, 0155); BM 127840 (1929-10-12, 0496); A 08007; A 08009",Royal Inscription,Q003703,Akkadian,clay,prism,Neo-Assyrian,874621,Prism D,Ashurbanipal 004,Kuyunjik (Nineveh),"[43.151937,36.358684]",Ashurbanipal,Neo-Assyrian,inscribed,Cuneiform,Ashurbanipal,LIT,['en'],,,
Q003704,0x08000000,rinap/rinap5,P514714,"British Museum, London, UK; Oriental Institute, University of Chicago, Chicago, Illinois, USA","Created by Jamie Novotny and Joshua Jeffers, 2015-18. Lemmatized by Jamie Novotny, 2015–16, for the Munich Open-access Cuneiform Corpus Initiative (MOCCI), a corpus-building initiative funded by LMU Munich and the Alexander von Humboldt Foundation (through the establishment of the Alexander von Humboldt Chair for Ancient History of the Near and Middle East) and based at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/rinap/Q003704/.",668-ca. 631,Ashurbanipal 005,RINAP 5 Asb. 005,Assyria,"BM 134462 (1932-12-12, 0457; TM 1931-2, 22); A 08131; BM 127896 + BM 128004 + BM 128250 + BM 128296 (1929-10-12, 0552 + 1929-10-12, 0600 + 1932-12-10, 0507 + 1932-12-10, 0553); BM 134464 (+) BM 134479 (1932-12-12, 0459 (+) 1932-12-12, 0474); BM 134442 (1932-12-12, 0437; TM 1931-2, 09); A 08112; A 08113; A 08114; A 08115; A 08116",Royal Inscription,Q003704,Akkadian,clay,prism,Neo-Assyrian,874621,Prism I (=Borger's TVar),Ashurbanipal 005,Kuyunjik (Nineveh),"[43.151937,36.358684]",Ashurbanipal,Neo-Assyrian,inscribed,Cuneiform,Ashurbanipal,LIT,['en'],,,
